SubFolder,Image1,Image2,Error
bikes,img1.ppm,img2.ppm,0.11832792585119
bikes,img1.ppm,img3.ppm,0.207985492276629
bikes,img1.ppm,img4.ppm,0.242603932681582
bikes,img1.ppm,img5.ppm,0.259714241832912
bikes,img1.ppm,img6.ppm,1.22017712609862
graf,img1.ppm,img2.ppm,0.726420761996434
graf,img1.ppm,img3.ppm,2.12171842000192
graf,img1.ppm,img4.ppm,1.16574402535033
graf,img1.ppm,img5.ppm,235.732612544782
graf,img1.ppm,img6.ppm,283.549811745008
leuven,img1.ppm,img2.ppm,0.0780207198605733
leuven,img1.ppm,img3.ppm,0.110054002468675
leuven,img1.ppm,img4.ppm,0.161730998978853
leuven,img1.ppm,img5.ppm,0.252443565993061
leuven,img1.ppm,img6.ppm,0.199338739196133
